nuts3,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8,Period 9,Period 10,Period 11,Period 12
DEA1A,0.20201493238961443,0.19096040091463695,0.13773714307700696,0.07571710230220607,0.010266162509370687,0.0002511881871630397,-2.44699428586458e-17,-2.44699428586458e-17,0.007315342044344134,0.058542373983669675,0.13324201973773475,0.18395333485425322
DEA1B,0.19961208623153434,0.18894768031757916,0.13749358933300385,0.0773435013248669,0.012560533295128379,0.0005515068932123999,-5.543510001827834e-17,-5.543510001827834e-17,0.007690423828880521,0.060486906125924673,0.13314879746726077,0.18216497518260882
DEA1C,0.20151666622594944,0.19054156819902435,0.1376787386838378,0.0760496938183165,0.01077880307345756,0.00031891423464985895,-1.504014238145136e-16,-1.504014238145136e-16,0.007390503567600772,0.058930643990856554,0.13321424018515676,0.1835802280211503
DEA1D,0.20105460481013107,0.19015211616860817,0.13761890328973134,0.07635476650073904,0.01128067825259355,0.00038563446217778903,4.7236505984792456e-17,4.7236505984792456e-17,0.007458323644123159,0.0592799569780053,0.13318241027654618,0.1832326056173441
DEA1E,0.20040269223245125,0.1896107027324066,0.13757792658498483,0.07681085059394006,0.011786012871021915,0.00044979487796968594,2.1243674044191103e-16,2.12436740441911e-16,0.00756840289239443,0.05985505304978318,0.13318396306805103,0.18275460109699648
DEA1F,0.20067958385694387,0.18984155149048965,0.13760013170988472,0.0766199706141043,0.01154897329833419,0.00041923128281049816,-1.1812353542838257e-17,-1.181235354283826e-17,0.0075232386719333395,0.05961987823106806,0.13318843774022546,0.1829590031042059
DEA22,0.1858413414138536,0.17435188177807015,0.1321301557343789,0.08010005649490062,0.02864064406772769,0.002827468893343706,1.548184358104565e-16,0.0015270846999420832,0.017535680698405724,0.07253198098798604,0.1309493505794754,0.17356435465191586
DEA23,0.20345983679178284,0.19214268692463804,0.13773247555885867,0.07464982571709503,0.009591776269885941,0.0001748642202364853,5.727446760248915e-17,5.727446760248915e-17,0.007039725168159313,0.057086925078255045,0.13313645784191042,0.1849854264291782
DEA24,0.2014599690654791,0.19049134376801907,0.1376582558322206,0.07607936505650942,0.010901712976002684,0.00033616750352455306,-7.416845188011437e-18,-7.416845188011437e-18,0.007394471753705062,0.058948625236326345,0.13319628112012916,0.18353380768808403
DEA2D,0.19499543882722034,0.1858191938503849,0.13777902001834866,0.0807422127161544,0.016037478193113044,0.0009889184731148748,-1.2478335134375803e-16,0.00011457266892021005,0.008656116389358936,0.062394591849136156,0.13213670196226474,0.1803357550519835
DEA26,0.1936601124484409,0.1846622581049052,0.13749562317156114,0.08149704583001112,0.017617193080327182,0.0012029383462139225,2.5853515799813945e-17,0.00017976998859988862,0.009152718710251062,0.0633017466861951,0.13195655233946568,0.1792740412940288
DEA27,0.200593166719878,0.18976724048170152,0.13758099406374247,0.0766723324115018,0.011679924562305589,0.00043719256863782583,1.5192362011506601e-16,1.51923620115066e-16,0.007533289843924697,0.05967016161693216,0.13317398591534965,0.18289171181602618
DEA28,0.18299393267708453,0.1719560002662099,0.13131187409684703,0.08123847364556698,0.03109105477102766,0.003159195343071707,-1.862240685830567e-17,0.0021300643408039784,0.020774310196218893,0.07398102114849023,0.1301754764396325,0.17118859707504658
DEA29,0.1930829457913477,0.1841553448047578,0.1373339861639787,0.08178561418338619,0.018408691227989018,0.0013119699969181779,3.7571763628671376e-18,0.0002230648915950191,0.009429723763812074,0.06362808294296154,0.13183571046600118,0.17880486576725266
DEA2A,0.19863851394865337,0.18814571764781204,0.13746792742705444,0.07804561201353379,0.013149373219043917,0.0006228088499383493,2.501982156165031e-16,2.501982156165031e-16,0.007866589659975309,0.06141303941520373,0.1331891172655478,0.18146130055323673
DEA2B,0.19967096061773368,0.18900284498873207,0.13753109910240868,0.07732228435724409,0.012357110442843667,0.0005223861620154722,-1.2549749875836444e-16,-1.2549749875836444e-16,0.007691683851146768,0.06049898439789645,0.1331848144214239,0.18221783165855496
DEA2C,0.1838543179059268,0.17267876902816262,0.13155395849978402,0.08088431589112888,0.030338101799030025,0.0030573317488496042,1.0308162429415765e-16,0.0019549936637753514,0.019829839398152794,0.0735390918433249,0.1304040296638231,0.17190525055804187
DEA31,0.20166058189453814,0.19066830819610564,0.13772670893854683,0.07597200283689712,0.010485587818432783,0.0002778947069149513,-1.686143336932853e-16,-1.6861433369328524e-16,0.007379098561847828,0.05887738674083668,0.13325552494163903,0.18369690536424088
DEA32,0.20274766861395574,0.1915756471172767,0.13781937782649503,0.0752258445568485,0.009529336615666564,0.00015411260213616607,1.0340499730741826e-17,1.0340499730741826e-17,0.007203601307855813,0.05796447809999301,0.13327896474960288,0.18450096851016956
